VideoID,Peak Detection,FFT,Sensor,Preferred
101,68.21627084,65.91796875,70.12518666,Peak Detection
102,74.62082912,73.828125,77.59145427,Peak Detection
103,77.63401109,76.46484375,77.00811194,Peak Detection
104,74.75328947,73.38867188,75.1799273,Peak Detection
105,71.39588101,70.3125,72.6378837,Peak Detection
106,69.89409985,69.43359375,72.05473373,FFT
201,71.96401799,69.43359375,72.98443291,Peak Detection
202,79.34925216,80.859375,81.45601023,Peak Detection
203,72.11740042,72.0703125,73.93230486,Peak Detection
204,72.66055046,70.3125,72.33227777,Peak Detection
205,74.17714744,75.5859375,74.80115274,Peak Detection
206,70.51349921,68.5546875,72.51022521,Peak Detection
301,54.35761589,53.61328125,53.52918685,Peak Detection
302,57.25826811,57.12890625,56.98753428,FFT
303,57.51879699,58.0078125,58.43378471,Peak Detection
304,56.49306345,56.25,56.74741805,FFT
305,56.23510723,56.25,56.6887038,Peak Detection
306,58.18759936,55.37109375,59.29270186,Peak Detection
401,61.35239142,61.5234375,60.25468956,Peak Detection
402,65.61797753,65.91796875,66.65202283,Peak Detection
403,69.30917327,70.75195313,68.66889037,Peak Detection
404,70.36620984,71.63085938,70.18861681,FFT
405,65.47179758,67.67578125,65.68627451,FFT
406,64.30235568,65.91796875,64.86323907,FFT
501,56.86172967,90.52734375,45.97156639,Peak Detection
502,59.43611887,55.37109375,51.35948859,Peak Detection
503,53.98388541,50.53710938,50.8158302,FFT
504,53.08310992,51.85546875,53.66353712,Peak Detection
505,52.83018868,50.09765625,48.89611725,Peak Detection
506,52.85638014,50.9765625,55.3379845,Peak Detection
601,65.35122336227309,64.16015625,64.97895277207392,FFT
603,70.68273092,68.5546875,74.58625277,FFT
604,73.35423197,73.828125,72.30286221,FFT
605,67.71159875,65.0390625,68.3076528,Peak Detection
606,68.4375,68.5546875,68.49642127,FFT
701,126.8805892,126.5625,125.2667185,Peak Detection
702,100.6075334,134.0332031,134.789348,Peak Detection
703,127.5622337,126.5625,127.0706958,FFT
704,126.5720081,125.2441406,126.0055679,Peak Detection
705,124.4984161,136.2304688,132.3242613,Peak Detection
706,127.5407292,133.59375,131.7253593,Peak Detection
801,52.22896333,46.58203125,49.49410559,Peak Detection
802,60.52009456,60.64453125,58.39284802,Peak Detection
803,50.06954103,50.53710938,51.43167077,Peak Detection
804,50.70422535,50.09765625,55.14686541,FFT
805,52.37068966,52.734375,52.52156965,Peak Detection
806,54.38916384,54.4921875,54.82616487,Peak Detection
901,46.42665234,90.52734375,46.53237778,Peak Detection
902,52.8440367,54.4921875,50.81521197,Peak Detection
903,48.25737265,47.90039063,48.31095951,Peak Detection
904,50.70422535,47.90039063,47.96425083,Peak Detection
905,48.14121423,47.4609375,46.95608629,Peak Detection
906,48.66129452,49.21875,48.34288613,Peak Detection
1001,83.17143607,79.1015625,83.48221649,Peak Detection
1002,97.44637385,93.1640625,98.88562753,Peak Detection
1003,73.76391982,71.63085938,75.07454506,Peak Detection
1004,75.11530859,75.5859375,78.36825054,FFT
1005,74.76340694,73.828125,77.30624839,FFT
1006,78.19942423,79.1015625,78.47045161,FFT
