VideoID,Peak Detection,FFT,Sensor,Preferred,,
1,107.95,109.86,106.7,FFT,,
3,95.42,88.77,101.17,Peak Detection,,
4,107.44,112.5,112.27,Peak Detection,,
5,99.40828402,101.0742188,98.27691419,FFT,,
8,99.41,101.07,98.28,Peak Detection,,
9,108.9,107.23,107.23,Peak Detection,,
10,110.5341987,108.984375,109.8088735,Peak Detection,,
11,123.7388724,128.3203125,96.21050384,Peak Detection,,
12,68.80733945,69.43359375,65.96596229,Peak Detection,,
13,107.5697211,109.8632813,107.1013712,Peak Detection,,
14,77.54688292,70.3125,80.41242649,Peak Detection,,
15,114.9700599,112.5,115.7866832,Peak Detection,,
16,93.19526627,90.96679688,91.79846341,Peak Detection,,
17,86.59793814,88.76953125,85.40310313,Peak Detection,,
18,118.9349112,124.8046875,103.7622468,Peak Detection,,
20,127.027027,133.59375,60.22508929,FFT,,
22,102.6785714,106.3476563,101.7930556,Peak Detection,,
23,65.72769953,69.43359375,63.28856844,Peak Detection,,
24,106.3595393,87.01171875,84.59167297,Peak Detection,,
25,113.8290479,113.3789063,91.53287293,BOTH,,
26,98.83321894,95.80078125,73.5347138,Peak Detection,,
27,108.5553997,111.6210938,89.36670161,Peak Detection,,
30,98.31181728,102.8320313,92.71101085,Peak Detection,,
31,78.64945382,77.34375,78.23751603,Peak Detection,,
32,105.5666004,96.6796875,107.328759,Peak Detection,,
33,117.2135285,113.3789063,117.1761381,BOTH,,
34,116.2444113,115.1367188,116.5466437,Peak Detection,,
35,104.0156709,116.4550781,102.3579532,Peak Detection,,
36,118.7592319,121.7285156,119.0246248,Peak Detection,,
37,60.23976024,55.37109375,62.97210433,Peak Detection,,
38,109.7345133,112.0605469,109.9967902,Peak Detection,,
39,84.82142857,86.1328125,85.02252479,Peak Detection,,
40,86.18453865,87.890625,86.96957544,Peak Detection,,
41,100.4444444,100.1953125,100.77938,Peak Detection,,
42,95.39375929,98.4375,93.86798531,Peak Detection,,
43,99.34771701,97.55859375,97.04197661,Peak Detection,,
44,82.84142071,79.1015625,82.21315469,Peak Detection,,
45,110.2040816,111.6210938,110.8200901,Peak Detection,,
46,97.12556732,91.40625,96.68196032,Peak Detection,,
47,109.2824887,105.46875,111.3776075,Peak Detection,,
48,90.97472924,91.40625,87.41854959,BOTH,,
49,87.91317218,86.1328125,87.56820452,BOTH,,
