sample,PeakDetection,FFT,Sensor,Preference,PD-Sensor,FFT-Sensor
101,68.21627084,65.91796875,70.12518666,PeakDetection,PeakDetection,4.20721791
102,74.62082912,73.828125,77.59145427,PeakDetection,2.970625153,3.763329273
103,77.63401109,76.46484375,77.00811194,FFT,FFT,0.543268195
104,74.75328947,73.38867188,75.1799273,PeakDetection,0.426637828,1.791255427
105,71.39588101,70.3125,72.6378837,PeakDetection,1.242002697,2.325383704
106,69.89409985,69.43359375,72.05473373,PeakDetection,2.160633879,2.621139978
201,71.96401799,69.43359375,72.98443291,PeakDetection,1.020414922,3.550839163
202,79.34925216,80.859375,81.45601023,FFT,2.106758065,0.59663523
203,72.11740042,72.0703125,73.93230486,PeakDetection,1.814904439,1.861992358
204,72.66055046,70.3125,72.33227777,PeakDetection,0.328272694,2.019777765
205,74.17714744,75.5859375,74.80115274,PeakDetection,0.624005293,0.784784762
206,70.51349921,68.5546875,72.51022521,PeakDetection,1.996726008,3.955537714
301,54.35761589,53.61328125,53.52918685,FFT,0.828429047,0.084094403
302,57.25826811,57.12890625,56.98753428,FFT,0.270733833,0.141371969
303,57.51879699,58.0078125,58.43378471,FFT,0.914987722,0.425972214
304,56.49306345,56.25,56.74741805,PeakDetection,0.254354599,0.497418051
305,56.23510723,56.25,56.6887038,FFT,0.453596572,0.4387038
306,58.18759936,55.37109375,59.29270186,PeakDetection,1.105102499,3.921608113
401,61.35239142,61.5234375,60.25468956,PeakDetection,1.09770186,1.268747936
402,65.61797753,65.91796875,66.65202283,FFT,1.034045306,0.734054084
403,69.30917327,70.75195313,68.66889037,PeakDetection,0.640282902,2.083062754
404,70.36620984,71.63085938,70.18861681,PeakDetection,0.17759303,1.442242565
405,65.47179758,67.67578125,65.68627451,PeakDetection,0.214476935,1.98950674
406,64.30235568,65.91796875,64.86323907,PeakDetection,0.560883392,1.054729675
501,56.86172967,90.52734375,45.97156639,PeakDetection,10.89016329,44.55577736
502,59.43611887,55.37109375,51.35948859,FFT,8.076630279,4.011605156
503,53.98388541,50.53710938,50.8158302,FFT,3.168055206,0.278720826
504,53.08310992,51.85546875,53.66353712,PeakDetection,0.580427198,1.808068368
505,52.83018868,50.09765625,48.89611725,FFT,3.934071425,1.201538996
506,52.85638014,50.9765625,55.3379845,PeakDetection,2.481604357,4.361421996
603,70.68273092,68.5546875,74.58625277,PeakDetection,3.903521848,6.031565272
604,73.35423197,73.828125,72.30286221,PeakDetection,1.051369761,1.525262786
605,67.71159875,65.0390625,68.3076528,PeakDetection,0.596054053,3.268590299
606,68.4375,68.5546875,68.49642127,FFT,0.058921268,0.058266232
701,126.8805892,126.5625,125.2667185,FFT,1.613870657,1.295781493
702,100.6075334,134.0332031,134.789348,FFT,34.18181457,0.756144857
703,127.5622337,126.5625,127.0706958,PeakDetection,0.491537877,0.508195807
704,126.5720081,125.2441406,126.0055679,PeakDetection,0.566440185,0.761427304
705,124.4984161,136.2304688,132.3242613,FFT,7.825845225,3.906207475
706,127.5407292,133.59375,131.7253593,FFT,4.184630095,1.868390657
801,52.22896333,46.58203125,49.49410559,PeakDetection,2.734857747,2.912074337
802,60.52009456,60.64453125,58.39284802,PeakDetection,2.127246542,2.25168323
803,50.06954103,50.53710938,51.43167077,FFT,1.362129738,0.894561392
804,50.70422535,50.09765625,55.14686541,PeakDetection,4.442640058,5.04920916
805,52.37068966,52.734375,52.52156965,PeakDetection,0.150879991,0.212805353
806,54.38916384,54.4921875,54.82616487,FFT,0.43700103,0.333977375
901,46.42665234,90.52734375,46.53237778,PeakDetection,0.105725446,43.99496597
902,52.8440367,54.4921875,50.81521197,PeakDetection,2.028824727,3.67697553
903,48.25737265,47.90039063,48.31095951,PeakDetection,0.053586853,0.410568882
904,50.70422535,47.90039063,47.96425083,FFT,2.739974522,0.063860205
905,48.14121423,47.4609375,46.95608629,FFT,1.185127942,0.504851213
906,48.66129452,49.21875,48.34288613,PeakDetection,0.318408388,0.875863873
1001,83.17143607,79.1015625,83.48221649,PeakDetection,0.310780422,4.380653995
1002,97.44637385,93.1640625,98.88562753,PeakDetection,1.439253679,5.72156503
1003,73.76391982,71.63085938,75.07454506,PeakDetection,1.310625234,3.443685681
1004,75.11530859,75.5859375,78.36825054,FFT,3.252941952,2.78231304
1005,74.76340694,73.828125,77.30624839,PeakDetection,2.542841453,3.478123393
1006,78.19942423,79.1015625,78.47045161,PeakDetection,0.271027378,0.631110887
